dt	dhsl	Mode	pCa
0.0005	0	-2	6.72034
0.0005	0	-2	6.72034
0.0005	0	-2	6.72003
0.0005	0	-2	6.71973
0.0005	0	-2	6.71946
0.0005	0	-2	6.71920
0.0005	0	-2	6.71898
0.0005	0	-2	6.71879
0.0005	0	-2	6.71864
0.0005	0	-2	6.71853
0.0005	0	-2	6.71846
0.0005	0	-2	6.71844
0.0005	0	-2	6.71846
0.0005	0	-2	6.71853
0.0005	0	-2	6.71864
0.0005	0	-2	6.71879
0.0005	0	-2	6.71898
0.0005	0	-2	6.71920
0.0005	0	-2	6.71946
0.0005	0	-2	6.71973
0.0005	0	-2	6.72003
0.0005	0	-2	6.72034
0.0005	0	-2	6.72008
0.0005	0	-2	6.71983
0.0005	0	-2	6.71959
0.0005	0	-2	6.71938
0.0005	0	-2	6.71920
0.0005	0	-2	6.71904
0.0005	0	-2	6.71892
0.0005	0	-2	6.71883
0.0005	0	-2	6.71878
0.0005	0	-2	6.71876
0.0005	0	-2	6.71879
0.0005	0	-2	6.71884
0.0005	0	-2	6.71894
0.0005	0	-2	6.71907
0.0005	0	-2	6.71923
0.0005	0	-2	6.71941
0.0005	0	-2	6.71962
0.0005	0	-2	6.71985
0.0005	0	-2	6.72009
0.0005	0	-2	6.72034
0.0005	0	-2	6.71992
0.0005	0	-2	6.71951
0.0005	0	-2	6.71913
0.0005	0	-2	6.71877
0.0005	0	-2	6.71845
0.0005	0	-2	6.71817
0.0005	0	-2	6.71794
0.0005	0	-2	6.71777
0.0005	0	-2	6.71765
0.0005	0	-2	6.71760
0.0005	0	-2	6.71761
0.0005	0	-2	6.71768
0.0005	0	-2	6.71782
0.0005	0	-2	6.71802
0.0005	0	-2	6.71829
0.0005	0	-2	6.71861
0.0005	0	-2	6.71898
0.0005	0	-2	6.71940
0.0005	0	-2	6.71985
0.0005	0	-2	6.72034
0.0005	0	-2	6.72032
0.0005	0	-2	6.72033
0.0005	0	-2	6.72036
0.0005	0	-2	6.72041
0.0005	0	-2	6.72049
0.0005	0	-2	6.72058
0.0005	0	-2	6.72070
0.0005	0	-2	6.72083
0.0005	0	-2	6.72096
0.0005	0	-2	6.72109
0.0005	0	-2	6.72122
0.0005	0	-2	6.72133
0.0005	0	-2	6.72142
0.0005	0	-2	6.72147
0.0005	0	-2	6.72147
0.0005	0	-2	6.72141
0.0005	0	-2	6.72129
0.0005	0	-2	6.72107
0.0005	0	-2	6.72076
0.0005	0	-2	6.72034
0.0005	0	-2	6.71911
0.0005	0	-2	6.71776
0.0005	0	-2	6.71629
0.0005	0	-2	6.71469
0.0005	0	-2	6.71298
0.0005	0	-2	6.71114
0.0005	0	-2	6.70919
0.0005	0	-2	6.70712
0.0005	0	-2	6.70493
0.0005	0	-2	6.70262
0.0005	0	-2	6.70019
0.0005	0	-2	6.69764
0.0005	0	-2	6.69496
0.0005	0	-2	6.69216
0.0005	0	-2	6.68923
0.0005	0	-2	6.68617
0.0005	0	-2	6.68297
0.0005	0	-2	6.67963
0.0005	0	-2	6.67615
0.0005	0	-2	6.67252
0.0005	0	-2	6.66819
0.0005	0	-2	6.66372
0.0005	0	-2	6.65911
0.0005	0	-2	6.65437
0.0005	0	-2	6.64951
0.0005	0	-2	6.64454
0.0005	0	-2	6.63946
0.0005	0	-2	6.63428
0.0005	0	-2	6.62900
0.0005	0	-2	6.62364
0.0005	0	-2	6.61819
0.0005	0	-2	6.61266
0.0005	0	-2	6.60706
0.0005	0	-2	6.60138
0.0005	0	-2	6.59563
0.0005	0	-2	6.58981
0.0005	0	-2	6.58392
0.0005	0	-2	6.57797
0.0005	0	-2	6.57196
0.0005	0	-2	6.56588
0.0005	0	-2	6.55912
0.0005	0	-2	6.55231
0.0005	0	-2	6.54547
0.0005	0	-2	6.53862
0.0005	0	-2	6.53176
0.0005	0	-2	6.52491
0.0005	0	-2	6.51808
0.0005	0	-2	6.51129
0.0005	0	-2	6.50454
0.0005	0	-2	6.49786
0.0005	0	-2	6.49124
0.0005	0	-2	6.48469
0.0005	0	-2	6.47824
0.0005	0	-2	6.47187
0.0005	0	-2	6.46561
0.0005	0	-2	6.45944
0.0005	0	-2	6.45339
0.0005	0	-2	6.44745
0.0005	0	-2	6.44162
0.0005	0	-2	6.43591
0.0005	0	-2	6.42970
0.0005	0	-2	6.42363
0.0005	0	-2	6.41770
0.0005	0	-2	6.41193
0.0005	0	-2	6.40633
0.0005	0	-2	6.40092
0.0005	0	-2	6.39569
0.0005	0	-2	6.39067
0.0005	0	-2	6.38584
0.0005	0	-2	6.38124
0.0005	0	-2	6.37684
0.0005	0	-2	6.37266
0.0005	0	-2	6.36871
0.0005	0	-2	6.36497
0.0005	0	-2	6.36144
0.0005	0	-2	6.35813
0.0005	0	-2	6.35503
0.0005	0	-2	6.35213
0.0005	0	-2	6.34942
0.0005	0	-2	6.34691
0.0005	0	-2	6.34401
0.0005	0	-2	6.34129
0.0005	0	-2	6.33875
0.0005	0	-2	6.33640
0.0005	0	-2	6.33423
0.0005	0	-2	6.33224
0.0005	0	-2	6.33043
0.0005	0	-2	6.32879
0.0005	0	-2	6.32731
0.0005	0	-2	6.32600
0.0005	0	-2	6.32485
0.0005	0	-2	6.32384
0.0005	0	-2	6.32297
0.0005	0	-2	6.32223
0.0005	0	-2	6.32161
0.0005	0	-2	6.32109
0.0005	0	-2	6.32067
0.0005	0	-2	6.32032
0.0005	0	-2	6.32005
0.0005	0	-2	6.31983
0.0005	0	-2	6.31900
0.0005	0	-2	6.31821
0.0005	0	-2	6.31747
0.0005	0	-2	6.31677
0.0005	0	-2	6.31612
0.0005	0	-2	6.31551
0.0005	0	-2	6.31495
0.0005	0	-2	6.31444
0.0005	0	-2	6.31397
0.0005	0	-2	6.31354
0.0005	0	-2	6.31316
0.0005	0	-2	6.31281
0.0005	0	-2	6.31250
0.0005	0	-2	6.31223
0.0005	0	-2	6.31198
0.0005	0	-2	6.31175
0.0005	0	-2	6.31155
0.0005	0	-2	6.31135
0.0005	0	-2	6.31117
0.0005	0	-2	6.31098
0.0005	0	-2	6.31022
0.0005	0	-2	6.30946
0.0005	0	-2	6.30870
0.0005	0	-2	6.30795
0.0005	0	-2	6.30722
0.0005	0	-2	6.30651
0.0005	0	-2	6.30582
0.0005	0	-2	6.30516
0.0005	0	-2	6.30452
0.0005	0	-2	6.30392
0.0005	0	-2	6.30335
0.0005	0	-2	6.30280
0.0005	0	-2	6.30229
0.0005	0	-2	6.30180
0.0005	0	-2	6.30134
0.0005	0	-2	6.30090
0.0005	0	-2	6.30048
0.0005	0	-2	6.30007
0.0005	0	-2	6.29966
0.0005	0	-2	6.29926
0.0005	0	-2	6.29828
0.0005	0	-2	6.29731
0.0005	0	-2	6.29634
0.0005	0	-2	6.29538
0.0005	0	-2	6.29445
0.0005	0	-2	6.29354
0.0005	0	-2	6.29266
0.0005	0	-2	6.29181
0.0005	0	-2	6.29100
0.0005	0	-2	6.29022
0.0005	0	-2	6.28948
0.0005	0	-2	6.28877
0.0005	0	-2	6.28811
0.0005	0	-2	6.28748
0.0005	0	-2	6.28688
0.0005	0	-2	6.28632
0.0005	0	-2	6.28578
0.0005	0	-2	6.28528
0.0005	0	-2	6.28479
0.0005	0	-2	6.28432
0.0005	0	-2	6.28319
0.0005	0	-2	6.28207
0.0005	0	-2	6.28099
0.0005	0	-2	6.27996
0.0005	0	-2	6.27898
0.0005	0	-2	6.27806
0.0005	0	-2	6.27720
0.0005	0	-2	6.27642
0.0005	0	-2	6.27573
0.0005	0	-2	6.27511
0.0005	0	-2	6.27459
0.0005	0	-2	6.27416
0.0005	0	-2	6.27382
0.0005	0	-2	6.27357
0.0005	0	-2	6.27341
0.0005	0	-2	6.27335
0.0005	0	-2	6.27336
0.0005	0	-2	6.27345
0.0005	0	-2	6.27362
0.0005	0	-2	6.27385
0.0005	0	-2	6.27370
0.0005	0	-2	6.27360
0.0005	0	-2	6.27356
0.0005	0	-2	6.27358
0.0005	0	-2	6.27366
0.0005	0	-2	6.27379
0.0005	0	-2	6.27397
0.0005	0	-2	6.27420
0.0005	0	-2	6.27447
0.0005	0	-2	6.27478
0.0005	0	-2	6.27511
0.0005	0	-2	6.27546
0.0005	0	-2	6.27583
0.0005	0	-2	6.27620
0.0005	0	-2	6.27656
0.0005	0	-2	6.27691
0.0005	0	-2	6.27723
0.0005	0	-2	6.27752
0.0005	0	-2	6.27777
0.0005	0	-2	6.27795
0.0005	0	-2	6.27735
0.0005	0	-2	6.27668
0.0005	0	-2	6.27597
0.0005	0	-2	6.27521
0.0005	0	-2	6.27442
0.0005	0	-2	6.27361
0.0005	0	-2	6.27277
0.0005	0	-2	6.27193
0.0005	0	-2	6.27108
0.0005	0	-2	6.27023
0.0005	0	-2	6.26939
0.0005	0	-2	6.26857
0.0005	0	-2	6.26777
0.0005	0	-2	6.26698
0.0005	0	-2	6.26623
0.0005	0	-2	6.26550
0.0005	0	-2	6.26481
0.0005	0	-2	6.26414
0.0005	0	-2	6.26351
0.0005	0	-2	6.26291
0.0005	0	-2	6.26187
0.0005	0	-2	6.26087
0.0005	0	-2	6.25992
0.0005	0	-2	6.25902
0.0005	0	-2	6.25818
0.0005	0	-2	6.25740
0.0005	0	-2	6.25669
0.0005	0	-2	6.25605
0.0005	0	-2	6.25549
0.0005	0	-2	6.25499
0.0005	0	-2	6.25457
0.0005	0	-2	6.25422
0.0005	0	-2	6.25393
0.0005	0	-2	6.25371
0.0005	0	-2	6.25354
0.0005	0	-2	6.25343
0.0005	0	-2	6.25336
0.0005	0	-2	6.25333
0.0005	0	-2	6.25332
0.0005	0	-2	6.25334
0.0005	0	-2	6.25274
0.0005	0	-2	6.25215
0.0005	0	-2	6.25159
0.0005	0	-2	6.25105
0.0005	0	-2	6.25053
0.0005	0	-2	6.25005
0.0005	0	-2	6.24959
0.0005	0	-2	6.24917
0.0005	0	-2	6.24878
0.0005	0	-2	6.24842
0.0005	0	-2	6.24809
0.0005	0	-2	6.24780
0.0005	0	-2	6.24753
0.0005	0	-2	6.24729
0.0005	0	-2	6.24707
0.0005	0	-2	6.24687
0.0005	0	-2	6.24669
0.0005	0	-2	6.24652
0.0005	0	-2	6.24636
0.0005	0	-2	6.24619
0.0005	0	-2	6.24542
0.0005	0	-2	6.24464
0.0005	0	-2	6.24388
0.0005	0	-2	6.24313
0.0005	0	-2	6.24241
0.0005	0	-2	6.24173
0.0005	0	-2	6.24107
0.0005	0	-2	6.24046
0.0005	0	-2	6.23990
0.0005	0	-2	6.23938
0.0005	0	-2	6.23892
0.0005	0	-2	6.23851
0.0005	0	-2	6.23816
0.0005	0	-2	6.23785
0.0005	0	-2	6.23761
0.0005	0	-2	6.23741
0.0005	0	-2	6.23726
0.0005	0	-2	6.23716
0.0005	0	-2	6.23709
0.0005	0	-2	6.23707
0.0005	0	-2	6.23656
0.0005	0	-2	6.23609
0.0005	0	-2	6.23566
0.0005	0	-2	6.23528
0.0005	0	-2	6.23493
0.0005	0	-2	6.23464
0.0005	0	-2	6.23440
0.0005	0	-2	6.23420
0.0005	0	-2	6.23406
0.0005	0	-2	6.23396
0.0005	0	-2	6.23392
0.0005	0	-2	6.23391
0.0005	0	-2	6.23395
0.0005	0	-2	6.23402
0.0005	0	-2	6.23413
0.0005	0	-2	6.23427
0.0005	0	-2	6.23442
0.0005	0	-2	6.23459
0.0005	0	-2	6.23477
0.0005	0	-2	6.23495
0.0005	0	-2	6.23445
0.0005	0	-2	6.23396
0.0005	0	-2	6.23348
0.0005	0	-2	6.23301
0.0005	0	-2	6.23257
0.0005	0	-2	6.23217
0.0005	0	-2	6.23180
0.0005	0	-2	6.23147
0.0005	0	-2	6.23120
0.0005	0	-2	6.23097
0.0005	0	-2	6.23080
0.0005	0	-2	6.23070
0.0005	0	-2	6.23065
0.0005	0	-2	6.23066
0.0005	0	-2	6.23073
0.0005	0	-2	6.23086
0.0005	0	-2	6.23104
0.0005	0	-2	6.23128
0.0005	0	-2	6.23156
0.0005	0	-2	6.23189
0.0005	0	-2	6.23177
0.0005	0	-2	6.23169
0.0005	0	-2	6.23165
0.0005	0	-2	6.23167
0.0005	0	-2	6.23173
0.0005	0	-2	6.23185
0.0005	0	-2	6.23203
0.0005	0	-2	6.23225
0.0005	0	-2	6.23253
0.0005	0	-2	6.23285
0.0005	0	-2	6.23322
0.0005	0	-2	6.23363
0.0005	0	-2	6.23408
0.0005	0	-2	6.23455
0.0005	0	-2	6.23505
0.0005	0	-2	6.23556
0.0005	0	-2	6.23608
0.0005	0	-2	6.23660
0.0005	0	-2	6.23711
0.0005	0	-2	6.23760
0.0005	0	-2	6.23742
0.0005	0	-2	6.23723
0.0005	0	-2	6.23701
0.0005	0	-2	6.23678
0.0005	0	-2	6.23653
0.0005	0	-2	6.23629
0.0005	0	-2	6.23603
0.0005	0	-2	6.23578
0.0005	0	-2	6.23553
0.0005	0	-2	6.23529
0.0005	0	-2	6.23505
0.0005	0	-2	6.23481
0.0005	0	-2	6.23459
0.0005	0	-2	6.23437
0.0005	0	-2	6.23415
0.0005	0	-2	6.23394
0.0005	0	-2	6.23374
0.0005	0	-2	6.23353
0.0005	0	-2	6.23331
0.0005	0	-2	6.23310
0.0005	0	-2	6.23230
0.0005	0	-2	6.23150
0.0005	0	-2	6.23071
0.0005	0	-2	6.22993
